,title,year,day,month,country,product-category
41,Franklins Ltd—Big Fresh & Franklins Fresh Labelled Cakes,1998,5,8,au,cereals and bakery products
42,Tarac Australia—Beenleigh Dark Rum,1998,10,8,au,alcoholic beverages
43,Recall Notification: FSIS-035-98,1998,22,10,us,"meat, egg and dairy products"
44,Archive - PRODUCT ALERT - POSSIBLE BOTULISM TOXIN IN ULIVETO DEL SAPORE BRAND GIANT OLIVES TUSCAN STYLE,1998,27,11,ca,fruits and vegetables
45,Recall Notification: FSIS-023-98,1998,8,12,us,"meat, egg and dairy products"
46,Woolworths Limited—Home Brand—Assorted Biscuits,1998,11,12,au,cereals and bakery products
47,Liquorland—Scotch Whisky—Hankey Bannister,1999,15,1,au,alcoholic beverages
48,Coles Myer Supermarkets—Value Bag Choc Sultanas,1999,19,1,au,confectionery
49,Blue Lotus Foods—Tofu Cutlets,1999,19,2,au,other food product / mixed
50,Kooka's Country Cookies—Choc Coated Assorted,1999,24,2,au,cereals and bakery products
51,"Jalong Goat Dairy—Frozen Goat Milk, Soft Cheese & Fetta",1999,12,3,au,"meat, egg and dairy products"
52,Coles Myer Supermarkets—Chocolate Sultanas 400gm,1999,19,3,au,confectionery
53,Kmart—Boxed Chocolates And Easter Chocolate Items,1999,19,3,au,"cocoa and cocoa preparations, coffee and tea"
54,Uncle Tobys—Bluebird Dunkaroos Biscuits,1999,19,3,au,cereals and bakery products
55,Haberfields—Country Fresh Thickened Cream,1999,13,4,au,"meat, egg and dairy products"
56,Green's—Pastry Mix,1999,6,5,au,prepared dishes and snacks
57,Coles—Eucalyptus & Honey Tea Recipe,1999,7,5,au,"cocoa and cocoa preparations, coffee and tea"
58,Ricegrowers' Co-operative—Long Grain Jasmine Rice,1999,15,6,au,cereals and bakery products
59,Eggs and products thereof in ice cream by Island Farms Dairy from Canada,1999,25,6,ca,ices and desserts
60,Nestle—Billabong chocolate ice cream 8 pack,1999,12,7,au,ices and desserts
61,Henry Jones Foods—Allowrie Fruit Of The Forest Jam,1999,30,7,au,confectionery
62,Tan & Co. Pty Ltd—Frozen coconut milk with Taro (ice cream),1999,30,7,au,ices and desserts
63,National Foods Ltd—Yo-Split Vanilla Yogurt with Muesli 'n Fruit,1999,6,8,au,"meat, egg and dairy products"
64,Franklins Ltd—No Frills—Chocolate mint slice biscuits,1999,24,8,au,cereals and bakery products
65,Koh-kae—Peanuts coconut cream flavour,1999,27,8,au,"nuts, nut products and seeds"
66,Green Valley Dairy—Cheese 100% Pure Cow's milk,1999,31,8,au,"meat, egg and dairy products"
67,Blue Lotus—Organic tofu hakea & smoked tofu,1999,2,9,au,other food product / mixed
68,Acquilla Bulk Trading—Sasso Pasta D'acciughe Linea Mare anchovies paste,1999,7,9,au,seafood
69,Oriental Merchant—Koh-kae peanuts coconut cream flavour,1999,7,9,au,"nuts, nut products and seeds"
70,Princi Smallgoods—Fermented Dry Italian sausage cacciatore,1999,24,9,au,"meat, egg and dairy products"
71,PRESENCE OF UNDECLARED PEANUT BUTTER IN CHOCOLATE ICE CREAM CAKE MANUFACTURED BY ICE CREAM UNLIMITED INC.,1999,20,10,ca,ices and desserts
72,Pura And Woolworths—Whole Milk,1999,28,10,au,"meat, egg and dairy products"
73,John West—Scottish sardines In vegetable oil,1999,17,11,au,seafood
74,Simplot Australia—Frozen Neptune Black Tiger Prawns,1999,30,12,au,seafood
75,Woolworths Limited—Homebrand Corn & Chicken flavour noodles,2000,7,1,au,prepared dishes and snacks
76,Valcorp Fine Foods—Gee Vee mild chillies in brine,2000,24,2,au,fruits and vegetables
77,Pauls—Breaka chocolate UHT milk,2000,8,3,au,"meat, egg and dairy products"
78,Coles Supermarkets—Farmland sausage meat,2000,4,5,au,"meat, egg and dairy products"
79,Norco Co-Operative—Richmond Vanilla Icecream,2000,12,8,au,ices and desserts
80,National Foods Ltd—Fruche,2000,21,8,au,"meat, egg and dairy products"
81,Pixie Ice Cream—Berry Koolick flavour Ice Blocks,2000,21,8,au,ices and desserts
82,Fidlers Choice—Tasty Cheese,2000,25,8,au,"meat, egg and dairy products"
83,Delight Dim Sum—Siu Mai,2000,25,8,au,prepared dishes and snacks
84,Franklins Ltd—First Choice Young Corn Cuts,2000,21,9,au,cereals and bakery products
85,Buderim Ginger Ltd—Ginger Lemon & Lime Marmalade,2000,26,10,au,confectionery
86,Pura—UHT (long life) Whole Milk,2000,31,10,au,"meat, egg and dairy products"
87,Bluebird—Incredibites Choc/Hazelnut Snack,2000,28,11,au,cereals and bakery products
88,"Recall Notification Report 075-2000, Expanded",2000,11,12,us,"meat, egg and dairy products"
89,Turkey And Chicken Products Recalled From Texas Plant For PossibleListeria Contamination,2000,14,12,us,"meat, egg and dairy products"
90,Recall Notification Report 006-2001,2001,9,2,us,prepared dishes and snacks
91,Coles—Chewy Oat and Raisin and Anzac Cookies,2001,15,2,au,cereals and bakery products
92,Indiana Firm Recalls Duckling Products,2001,19,2,us,prepared dishes and snacks
93,Nutella—Hazelnut Spread in Collectable Glasses,2001,30,3,au,"cocoa and cocoa preparations, coffee and tea"
94,Sweet Success—Cherry & Coconut Chocolate Bar 90gm,2001,12,4,au,"cocoa and cocoa preparations, coffee and tea"
95,"Jalong Goat Dairy—Plain Gormet Fetta, Fetta with Chives and Fetta with Sun-dried Tomato and Olives",2001,7,5,au,"meat, egg and dairy products"
96,Cadbury—250g Hazelnut Block Chocolate,2001,29,5,au,"cocoa and cocoa preparations, coffee and tea"
97,Darling Downs Bacon—Boneless Champagne Leg Ham,2001,2,7,au,"meat, egg and dairy products"
98,Gulsan—Halva (Middle eastern sweet also known as Helva or Halwa),2001,26,7,au,fruits and vegetables
99,Ceren—Halva (Middle Eastern Sweet),2001,31,7,au,fruits and vegetables
100,Pagasa—Dried Mackeral,2001,31,7,au,seafood
101,Harkola Pty Ltd—Halawa with Pistachios (Middle Eastern Sweet also known as helva or halwa),2001,14,8,au,"nuts, nut products and seeds"
102,Big M—Chocolate flavoured Milk,2001,14,8,au,"meat, egg and dairy products"
103,Wanjashan—Soy Sauce,2001,20,8,au,"soups, broths, sauces and condiments"
104,Golden Mountain—Soya Bean Sauce,2001,28,8,au,"soups, broths, sauces and condiments"
105,Oriental Merchant Pty Ltd—Shandong Peanuts (Peanuts in Shells),2001,10,9,au,"nuts, nut products and seeds"
106,Cadbury—Teeny Freddo Ice Cream and Party Cake,2001,20,9,au,ices and desserts
107,"Heinz—Spaghetti In Tomato Sauce, Spaghetti Bolognese & Spaghetti Oops.",2001,21,9,au,"soups, broths, sauces and condiments"
108,Polycyclic aromatic hydrocarbons in olive pomace oil by Aris Calamata from Greece,2001,1,10,ca,fats and oils
109,"Polycyclic aromatic hydrocarbons in olive pomace oil by Grifo, San Remo, La Molisana from Italy",2001,9,10,ca,fats and oils
110,Goodman Fielder Baking—Pampas Family Chicken and Vegetable Pie,2001,26,11,au,prepared dishes and snacks
111,Fresco Cheese Company Pty Ltd—Baked Ricotta Cheese,2001,29,11,au,"meat, egg and dairy products"
112,Woolworths Limited—Home Brand Frozen Chicken Nuggets,2001,30,11,au,"meat, egg and dairy products"
113,Swift and Moore Pty Ltd—Kahlua and Milk,2001,4,12,au,alcoholic beverages
114,Swan Valley Cheese Company—Fetta Cheese Products,2001,12,12,au,"meat, egg and dairy products"
115,KR Darling Down—Boneless Champagne Leg Ham Portions,2001,17,12,au,"meat, egg and dairy products"
116,Withdrawal of two brands of olive-pomace oil,2002,4,1,na,fats and oils
117,Red Dragon Foods Pty Ltd—Glory Brand Rice Cookies,2002,7,1,au,cereals and bakery products
118,Golden Circle—Fruit Salad,2002,9,1,au,fruits and vegetables
119,Paesanella Cheese Manufacturers—Stracchino Cheese & Fresh Peccornio Cheese,2002,29,1,au,"meat, egg and dairy products"
120,Bi-Lo—Apricot and Raisin Cake,2002,21,2,au,cereals and bakery products
121,Green Valley—Fresh Cheese,2002,4,3,au,"meat, egg and dairy products"
122,Manassen Foods Australia Pty Ltd—Trident Multigrain Rice Cakes,2002,15,3,au,cereals and bakery products
123,Dons Smallgoods—Deli Supreme Premium Smoked Leg Ham,2002,26,4,au,"meat, egg and dairy products"
124,Byrnes Quality Meats—Sliced Roast Beef and Pepperoni,2002,3,6,au,"meat, egg and dairy products"
125,Challenge Meats Pty Ltd—Country Lite Ham Steaks,2002,11,6,au,"meat, egg and dairy products"
126,Sunsol—Natural Fruity Muesli 750 gm,2002,14,6,au,cereals and bakery products
127,Colorado Firm Recalls Ground Beef Products For Possible E. coli O157:H7,2002,30,6,us,"meat, egg and dairy products"
128,George Weston Foods Ltd—Watsonia Salami Slims Original,2002,1,7,au,"meat, egg and dairy products"
129,Suzuran Japan Foods Trading Pty Ltd—Dried seaweed urashima yaki sushi nori 28G 10 oz packet,2002,11,7,au,fruits and vegetables
130,Heinz—Baked Beans in Tomato Sauce,2002,25,7,au,prepared dishes and snacks
131,Woolworths Limited—Homebrand Wheat Biscuits Cereal Retail Pack,2002,19,8,au,cereals and bakery products
132,Conroy's—Polish Sausage,2002,26,8,au,"meat, egg and dairy products"
133,Dick Smith's—Shortbread Vanilla Creams,2002,2,9,au,cereals and bakery products
134,Mars Confectionery—Starburst Lollipops,2002,6,9,au,confectionery
135,Casa Dairy Products—Marinated Feta,2002,9,9,au,"meat, egg and dairy products"
136,George Weston Foods—Kitchen Collection Brand Bread Mixes,2002,27,9,au,cereals and bakery products
137,Byrnes Quality Meats—Sliced Cooked Meat Products,2002,1,10,au,prepared dishes and snacks
138,Black & Gold—Sliced Shoulder Ham,2002,15,10,au,"meat, egg and dairy products"
139,Manassen Foods—Trident Rice Crackers (Teriyaki Flavour),2002,28,10,au,cereals and bakery products
140,California Firm Recalls Chicken Product For Undeclared Allergen,2002,5,11,us,prepared dishes and snacks
141,Coca-Cola Amatil Limited—Winnie the Pooh Juice Drink 250ml PET Bottles,2002,14,11,au,non-alcoholic beverages
142,Wah Lien Trading Pty Ltd—Konnyaku Jelly Powder,2002,17,12,au,confectionery
143,Fantastic Snacks—Fortune Brand and Jade Brand Instant Cup Noodles,2002,20,12,au,prepared dishes and snacks
144,Coles Myer Ltd—Peppermint Choc Coated Muesli Bars,2002,24,12,au,cereals and bakery products
145,Mum's Choice Pty Ltd—Baba-Ghannouje,2003,2,1,au,fruits and vegetables
146,Boustani Enterprises Pty Ltd—Tahini Sauce,2003,2,1,au,"nuts, nut products and seeds"
147,Masterfoods—Dolmio Tomato Sauces,2003,22,1,au,"soups, broths, sauces and condiments"
148,Paesanella Cheese—Bocconcini cheese,2003,23,1,au,"meat, egg and dairy products"
149,Archive - ALLERGY ALERT - UNDECLARED PECAN AND WALNUT IN ICE CREAM AND ICE MILK MANUFACTURED BY LAITERIE DE COATICOOK LT&#201;E,2003,20,2,ca,ices and desserts
150,Goodman Fielder Consumer Foods Ltd—Figurines included in White Wings Learn to Bake Chocolate Cup Cakes with Chocolate Icing,2003,10,3,au,cereals and bakery products
151,Coles—Savings Brand Frozen Fish Fingers,2003,14,3,au,seafood
152,The Australian Football League—AFL 2003 Auskick Plastic Drink Bottles,2003,8,4,au,food contact materials
153,Heng Heng Trading—A1 Salted Mackerel,2003,9,4,au,seafood
154,Conroy's Smallgoods Pty Ltd—Ham Steaks,2003,17,4,au,"meat, egg and dairy products"
155,Charkas Middle Eastern Foods—Al-Ribah Halawa Plain and Pistachio,2003,24,4,au,"nuts, nut products and seeds"
156,Hans Continental Smallgoods—German Salami (Mettwurst Style),2003,16,5,au,"meat, egg and dairy products"
157,"Spiroski Foods Pty Ltd—Chocolate, Hazelnut and Vanilla Duo Spread",2003,6,6,au,"cocoa and cocoa preparations, coffee and tea"
158,"The Quang Pty Ltd—Sesame Cake, Mango Pudding and Coconut Cookies.",2003,10,6,au,ices and desserts
159,Oceanic Food—Sichuan Spicy Noodle,2003,16,6,au,prepared dishes and snacks
160,Cadbury Schweppes—Cottees Hazelnut Spread,2003,17,6,au,"nuts, nut products and seeds"
161,Kadac Pty Ltd—Whole Earth Brand Organic Cornflakes,2003,3,7,au,cereals and bakery products
162,Kadac Pty Ltd—Ancient Harvest Brand Quinoa Supergrain Pasta,2003,3,7,au,cereals and bakery products
163,Foodland Associated Ltd—Signature Range BBQ Flavoured Rice Crackers,2003,3,7,au,cereals and bakery products
164,Foodland Associated Ltd—Basics Brand Frozen Lasagne,2003,8,7,au,prepared dishes and snacks
165,Exquisine—Traditional Chocolate Mousse & Hazelnut Chocolate Mousse,2003,10,7,au,ices and desserts
166,"Foodland Associated Ltd—Signature Range Plain, Seaweed & Tomato Salso Flavoured Rice Crackers",2003,5,8,au,cereals and bakery products
167,Foodland Associated Ltd—Signature Range Cereal Bars,2003,14,8,au,cereals and bakery products
168,Charkas Middle East Foods—Al-Rabih Brand Tahineh,2003,19,8,au,"nuts, nut products and seeds"
169,The Natural Ice Cream Company—Fruccio Ice Dessert and Fruccio Vanilla Cups,2003,22,8,au,ices and desserts
170,Manassen Foods Australia Pty Ltd—Trident Oriental Favourites—Pad Thai Noodles,2003,28,8,au,prepared dishes and snacks
171,Product recall of Unilever Bestfoods Ltd Bertolli brand 'Pesto Rosso' sauce 185g jar,2003,15,9,na,"soups, broths, sauces and condiments"
172,Pura—UHT (Long Life) Whole Milk,2003,18,9,au,"meat, egg and dairy products"
173,Rosemount Estate—Semillon Sauvignon Blanc Wine,2003,19,9,au,alcoholic beverages
174,Barilla—Arrabbiata Pasta Sauce & Barilla Pesto Calabrese,2003,23,9,au,"soups, broths, sauces and condiments"
175,Woolworths Limited—Premium Beef Mince and Regular Beef Mince,2003,24,9,au,"meat, egg and dairy products"
176,Hunts Foods—Frozen Hunts Beef Savoury Rice & Chicken Savoury Rice,2003,15,10,au,prepared dishes and snacks
177,Favourite Foods Pty Ltd—Mexigos Nacho Cheese & Salso and Mexigos Bean Dip & Nacho Cheese,2003,24,11,au,"soups, broths, sauces and condiments"
178,Woolworths Supermarkets—Pre-Packed Gourmet Lettuce,2003,25,11,au,fruits and vegetables
179,Canon Foods—Chicken and Cheese Schnitzel,2003,26,11,au,"meat, egg and dairy products"
180,Four Bee Meats—Smoked Premium Leg Ham and Silverside Eye Corn Beef,2003,3,12,au,"meat, egg and dairy products"
181,IGA—Christmas Kisses (Cream filled sponge cakes),2003,16,12,au,cereals and bakery products
182,D'Orsogna—Pressed Chicken,2003,17,12,au,"meat, egg and dairy products"
183,Golden Circle—Meal Variety 4 and 8 Pack Baby Food,2004,8,1,au,"dietetic foods, food supplements, fortified foods"
184,Lismore Country Meats—Sliced Leg Ham,2004,29,1,au,"meat, egg and dairy products"
185,Darragh's Plaza Butchery—Sliced Roast Beef,2004,30,1,au,"meat, egg and dairy products"
186,Lucas Quality Meats—Sliced Virginia Leg Ham,2004,3,2,au,"meat, egg and dairy products"
187,Parmalat Australia Ltd—Pauls Vanilla Custard,2004,5,2,au,ices and desserts
188,Azzura Gelati—Azzura Kisses,2004,10,2,au,ices and desserts
189,P & M Quality Smallgoods Pty Ltd—Primo Cocktail Frankfurts,2004,11,2,au,"meat, egg and dairy products"
190,Wattle Valley—Chunky Dip Chilli Red with Cashew and Parmesan,2004,20,2,au,"soups, broths, sauces and condiments"
191,Trade withdrawal of 500ml Ballygowan Pure Irish Still Water,2004,10,3,na,non-alcoholic beverages
192,Foodland Associated Limited—Signature Range Classic Caesar Salad Dressing,2004,18,3,au,"soups, broths, sauces and condiments"
193,Aqua Marine Marketing Pty Ltd—Cooked Medium Tiger Prawns (sold loosely),2004,5,4,au,seafood
194,Naturally Good Products Pty Ltd—Soy Carob Products,2004,19,4,au,cereals and bakery products
195,Village Cheese—Halloumi cheese,2004,4,5,au,"meat, egg and dairy products"
196,Mur Thai Food Co Pty Ltd—Vinawang Pumpkin Seed Cake 100g Cellophone pack,2004,20,5,au,cereals and bakery products
197,La Tosca—Sugodoro bolognese Sauce with beef,2004,8,6,au,"soups, broths, sauces and condiments"
198,Sanhuo Pty Ltd—Sunlight White Sesame Seeds,2004,9,6,au,herbs and spices
199,Koz Worldwide Imports—Ttangkong Kangjung (Peanut Snack),2004,25,6,au,"nuts, nut products and seeds"
200,"Product withdrawal of Pork Farms, Bowyers, Marks and Spencer and Somerfield brand Scotch eggs, picnic eggs and Savoury Bites",2004,8,7,na,"meat, egg and dairy products"
201,Confectionery Trading Company—IGA—Fabulously Fun Lolly Pops,2004,15,7,au,confectionery
202,Lolliland Pty Ltd—Quanta Armada—Soft nougat caramel and peanuts in milk chocolate,2004,21,7,au,"cocoa and cocoa preparations, coffee and tea"
203,White Wings—Cornflour 300 G,2004,27,7,au,cereals and bakery products
204,Update on Jumbo Palm Oil,2004,9,8,na,fats and oils
205,"Conga Foods Pty Ltd—Spanish Black Pitted Olives, Green Valley, 350g, Glass Jar",2004,2,9,au,fruits and vegetables
206,"F Mayer Imports Pty Ltd—Smoked Salmon (All Natural - Sliced - Ready to Serve), Royal Line, 100gram",2004,3,9,au,seafood
207,"Hormel Foods Australia Pty Ltd—Kid's Kitchen—Mini Beef Ravioli in Tomato Sauce, 213g",2004,28,9,au,prepared dishes and snacks
208,Woolworths Limited—Fruity Muesli Cookies,2004,14,10,au,cereals and bakery products
209,Woolworths Limited—Homebrand—Mackerel in Natural Oil,2004,3,11,au,seafood
210,WM Morrison recall of deli cooked lamb from their instore delicatessen counters,2004,5,11,na,"meat, egg and dairy products"
211,J Sainsbury recall Dry Cured York Ham sold from their in-store delicatessen counters,2004,5,11,na,"meat, egg and dairy products"
212,Nestlé—Maggi—Frozen Macaroni Cheese,2004,19,11,au,prepared dishes and snacks
213,Coles—Candy Lane Chocolate Coated Sultanas,2004,23,12,au,confectionery
214,Product recall of Marks & Spencer Cheesy Spirals 'Loved by Kids' meal,2005,15,1,na,prepared dishes and snacks
215,Hungs Trading Company Pty Ltd—Seawoods Soft Flour Cake (FSANZ 2005/01),2005,19,1,au,cereals and bakery products
216,Coles—and Bi-Lo thin BBQ sausages (random weight and assorted pack sizes),2005,28,1,au,"meat, egg and dairy products"
217,Parmalat Australia Ltd—Chocolate flavoured milk UHT Longlife,2005,4,2,au,"meat, egg and dairy products"
218,Coles—Parmagiana Beef Rissoles,2005,22,2,au,"meat, egg and dairy products"
219,Masterfoods—Mars—Fundraising speckled eggs boxes,2005,23,2,au,"cocoa and cocoa preparations, coffee and tea"
220,Fromagent Australia—Mauri brand cheese Bon Taleggio Valsassina,2005,3,3,au,"meat, egg and dairy products"
221,"Uncle Tobys—Le Snak Rice Crackers, BBQ Flavoured with Mild Salsa Dip",2005,7,3,au,cereals and bakery products
222,Coles—Farmland & BI-LO—Fruit juice cordial orange crush 2L,2005,15,3,au,non-alcoholic beverages
223,Woolworths Limited—Home Brand—Nacho Cheese Flavoured Corn Chips,2005,27,4,au,other food product / mixed
224,Tender Choice Foods(Aust) Pty Ltd—Oven Roasted Skinless Sliced Chicken 5kg and 1kg,2005,29,4,au,prepared dishes and snacks
225,Coles Myer Ltd—Bi-Lo Shredded Lite Tasty Cheese,2005,17,5,au,"meat, egg and dairy products"
226,Yuen's Market Trading Company—Pun Chun Lye Water,2005,25,5,au,non-alcoholic beverages
227,Aristocrat Gourmet Foods—Aristocrat and Melton Pork Pies,2005,26,5,au,prepared dishes and snacks
228,Coles Myer Ltd—Bilo & Savings—Choc Coated Ice Cream,2005,6,6,au,ices and desserts
229,Coles—Garden Vegetable Pasta Sauce,2005,20,6,au,cereals and bakery products
230,Wei Wah International Trading Pty Ltd—Lion Globe Dry Seaweed 50g,2005,1,7,au,fruits and vegetables
231,Masterfoods—Mars and Snickers Bars,2005,4,7,au,"cocoa and cocoa preparations, coffee and tea"
232,Coles—Farmland Natural Spring Water,2005,4,7,au,non-alcoholic beverages
233,Manassen Foods Australia Pty Ltd—Atkins Advantage Chocolate Decadence Bar,2005,11,7,au,"cocoa and cocoa preparations, coffee and tea"
234,Vihenthi Co Pty Ltd—Hello Bee Bee Pon Rice Snack (Gaueteau de Riz),2005,14,7,au,cereals and bakery products
235,Parmalat Foods Australia Pty Ltd—Skinny Milk,2005,14,7,au,"meat, egg and dairy products"
236,Hong Australia Corp Pty Ltd—Pun Chen Lye Water,2005,20,7,au,non-alcoholic beverages
237,Angelakis Brothers—Pacific Red—Frozen Whole Cooked Vannamei Prawn,2005,28,7,au,seafood
238,Aus Soya Products—Tofu (5 products),2005,4,8,au,other food product / mixed
239,Parmalat Foods Australia Pty Ltd—Fresh Milk packed in 2 litre plastic bottles,2005,9,8,au,"meat, egg and dairy products"
240,Marco Polo Foods Pty Ltd—Trata Brand Anchovy Fillets in Sunflower Oil,2005,17,8,au,seafood
241,Pavlova Pantry—Lamingtons,2005,18,8,au,cereals and bakery products
242,T & D Trading Co Pty Ltd—Aroy-D—Mussaman curry soup,2005,27,9,au,prepared dishes and snacks
243,Gold Coast Bakery Queensland Pty Ltd—Vogels—Fruit and Nut Bread,2005,27,9,au,cereals and bakery products
244,T & D Trading Co Pty Ltd—Loong Heed—Instant Tai Pla (Fish and spice) Paste,2005,27,9,au,prepared dishes and snacks
245,Coles—Farmland Tropical Muesli (750g),2005,4,10,au,cereals and bakery products
246,Uncle Tobys—Plus Sultanas 'n Bran,2005,8,11,au,fruits and vegetables
247,marks & spencer recalls a number of own-brand cake products due to contamination with coloured plastic strands,2005,24,11,na,cereals and bakery products
248,Dec 1_ 2005 MO Firm Recalls ___,2005,1,12,us,"meat, egg and dairy products"
249,"Conroy's Smallgoods, MQF, Foodland, Drake—Ready-to-eat meats and smallgoods (excluding bacon)",2005,14,12,au,"meat, egg and dairy products"
250,Coles—Premium Fruit Mince Pie 4 Pack,2005,15,12,au,cereals and bakery products
251,Coles Myer Limited—Farmland Tropical Muesli,2006,8,2,au,cereals and bakery products
252,"Bulla Dairy Foods—Bulla , Farmland & Homebrand Brand Names—Low Fat Cottage Cheese, all flavours",2006,9,2,au,"meat, egg and dairy products"
253,"Parilla Fresh—Woolworths brand, Action brand Alfalfa sprouts",2006,22,2,au,fruits and vegetables
254,IXL—Raspberry Conserve,2006,29,3,au,fruits and vegetables
255,Marks & Spencer recalls own-brand 3 Bean & Spinach Salad with Chive Dressing due to incorrect labelling information,2006,20,4,na,fruits and vegetables
256,"Pernod Ricard Pacific Pty Ltd—Maison Supreme, White, Rose and Lambrusco",2006,9,5,au,alcoholic beverages
257,Parilla—Fresh and Woolworths brand Alfalfa Sprouts,2006,10,5,au,fruits and vegetables
258,Country Valley—Classic Cream (minimum 35% fat),2006,18,5,au,"meat, egg and dairy products"
259,Woolworths Supermarkets—Pork mince,2006,29,5,au,"meat, egg and dairy products"
260,Top Taste—Various products,2006,29,5,au,cereals and bakery products
261,Tibaldi Smallgoods—Loin Capocollo mild,2006,1,6,au,"meat, egg and dairy products"
262,Coles Myer Ltd—Farmland Apple Oven Baked Fruit Bars,2006,1,6,au,cereals and bakery products
263,J&F Corbo Pty Ltd—Buona Pasta Beef Ravioli and Ravioli Da Brodo,2006,19,6,au,prepared dishes and snacks
264,Coles Myers Pty Ltd—Savings Luncheon Ham and Chicken Meat,2006,30,6,au,"meat, egg and dairy products"
265,United Biscuits recalls certain batches of its Go Ahead! brand Crispy Fruit Slices and Yoghurt Breaks due to possible metal contamination,2006,12,7,na,confectionery
266,Riviana Foods Pty Ltd—Always Fresh Baby Clams - Tin Can 200g,2006,13,7,au,seafood
267,May 25_ 2006 IN Firm Recalls Recalls Soup Product___,2006,13,7,us,"meat, egg and dairy products"
268,Darling Downs Foods Pty Ltd—Selected KR Castlemaine products,2006,19,7,au,"meat, egg and dairy products"
269,Manassen Foods Pty Ltd—McVitie's The Original Digestive,2006,19,7,au,cereals and bakery products
270,Nestlé—Maggi Liquid Cooking Sauce,2006,26,7,au,"soups, broths, sauces and condiments"
271,Wah Lien Trading Pty Ltd—Horlicks drink powder,2006,31,8,au,"meat, egg and dairy products"
272,Sunbeam Foods Pty Ltd—Angas Park and Sunbeam brand dried fruits,2006,14,9,au,fruits and vegetables
273,Australian Discount Retail—Ricky's BBQ flavoured Rice Crackers,2006,19,9,au,cereals and bakery products
274,Duncan Mann—Black & Gold Choc sultanas,2006,25,9,au,confectionery
275,Quaker Oats Ltd withdraws a batch of Quaker Oats due to the presence of moth pupae and larvae within the product,2006,5,10,na,cereals and bakery products
276,Oct 6_ 2006_ Iowa_ Firm Recalls Ground Beef___,2006,6,10,us,"meat, egg and dairy products"
