,title,year,day,month,country,hazard
122,Manassen Foods Australia Pty Ltd—Trident Multigrain Rice Cakes,2002,15,3,au,cereals containing gluten and products thereof
123,Dons Smallgoods—Deli Supreme Premium Smoked Leg Ham,2002,26,4,au,listeria monocytogenes
124,Byrnes Quality Meats—Sliced Roast Beef and Pepperoni,2002,3,6,au,listeria monocytogenes
125,Challenge Meats Pty Ltd—Country Lite Ham Steaks,2002,11,6,au,listeria monocytogenes
126,Sunsol—Natural Fruity Muesli 750 gm,2002,14,6,au,peanuts and products thereof
127,Colorado Firm Recalls Ground Beef Products For Possible E. coli O157:H7,2002,30,6,us,escherichia coli
128,George Weston Foods Ltd—Watsonia Salami Slims Original,2002,1,7,au,spoilage
129,Suzuran Japan Foods Trading Pty Ltd—Dried seaweed urashima yaki sushi nori 28G 10 oz packet,2002,11,7,au,other
130,Heinz—Baked Beans in Tomato Sauce,2002,25,7,au,packaging defect
131,Woolworths Limited—Homebrand Wheat Biscuits Cereal Retail Pack,2002,19,8,au,metal fragment
132,Conroy's—Polish Sausage,2002,26,8,au,metal fragment
133,Dick Smith's—Shortbread Vanilla Creams,2002,2,9,au,eggs and products thereof
134,Mars Confectionery—Starburst Lollipops,2002,6,9,au,metal fragment
135,Casa Dairy Products—Marinated Feta,2002,9,9,au,listeria monocytogenes
136,George Weston Foods—Kitchen Collection Brand Bread Mixes,2002,27,9,au,milk and products thereof
137,Byrnes Quality Meats—Sliced Cooked Meat Products,2002,1,10,au,listeria monocytogenes
138,Black & Gold—Sliced Shoulder Ham,2002,15,10,au,listeria monocytogenes
139,Manassen Foods—Trident Rice Crackers (Teriyaki Flavour),2002,28,10,au,cereals containing gluten and products thereof
140,California Firm Recalls Chicken Product For Undeclared Allergen,2002,5,11,us,crustaceans and products thereof
141,Coca-Cola Amatil Limited—Winnie the Pooh Juice Drink 250ml PET Bottles,2002,14,11,au,other not classified
142,Wah Lien Trading Pty Ltd—Konnyaku Jelly Powder,2002,17,12,au,e 425 - konjac unauthorised
143,Fantastic Snacks—Fortune Brand and Jade Brand Instant Cup Noodles,2002,20,12,au,metal fragment
144,Coles Myer Ltd—Peppermint Choc Coated Muesli Bars,2002,24,12,au,peanuts and products thereof
145,Mum's Choice Pty Ltd—Baba-Ghannouje,2003,2,1,au,salmonella
146,Boustani Enterprises Pty Ltd—Tahini Sauce,2003,2,1,au,salmonella
147,Masterfoods—Dolmio Tomato Sauces,2003,22,1,au,glass fragment
148,Paesanella Cheese—Bocconcini cheese,2003,23,1,au,escherichia coli
149,Archive - ALLERGY ALERT - UNDECLARED PECAN AND WALNUT IN ICE CREAM AND ICE MILK MANUFACTURED BY LAITERIE DE COATICOOK LT&#201;E,2003,20,2,ca,pecan nut
150,Goodman Fielder Consumer Foods Ltd—Figurines included in White Wings Learn to Bake Chocolate Cup Cakes with Chocolate Icing,2003,10,3,au,plastic fragment
151,Coles—Savings Brand Frozen Fish Fingers,2003,14,3,au,milk and products thereof
152,The Australian Football League—AFL 2003 Auskick Plastic Drink Bottles,2003,8,4,au,other not classified
153,Heng Heng Trading—A1 Salted Mackerel,2003,9,4,au,toxin
154,Conroy's Smallgoods Pty Ltd—Ham Steaks,2003,17,4,au,listeria monocytogenes
155,Charkas Middle Eastern Foods—Al-Ribah Halawa Plain and Pistachio,2003,24,4,au,salmonella
156,Hans Continental Smallgoods—German Salami (Mettwurst Style),2003,16,5,au,milk and products thereof
157,"Spiroski Foods Pty Ltd—Chocolate, Hazelnut and Vanilla Duo Spread",2003,6,6,au,peanuts and products thereof
158,"The Quang Pty Ltd—Sesame Cake, Mango Pudding and Coconut Cookies.",2003,10,6,au,cereals containing gluten and products thereof
159,Oceanic Food—Sichuan Spicy Noodle,2003,16,6,au,milk and products thereof
160,Cadbury Schweppes—Cottees Hazelnut Spread,2003,17,6,au,peanuts and products thereof
161,Kadac Pty Ltd—Whole Earth Brand Organic Cornflakes,2003,3,7,au,cereals containing gluten and products thereof
162,Kadac Pty Ltd—Ancient Harvest Brand Quinoa Supergrain Pasta,2003,3,7,au,cereals containing gluten and products thereof
163,Foodland Associated Ltd—Signature Range BBQ Flavoured Rice Crackers,2003,3,7,au,milk and products thereof
164,Foodland Associated Ltd—Basics Brand Frozen Lasagne,2003,8,7,au,soybeans and products thereof
165,Exquisine—Traditional Chocolate Mousse & Hazelnut Chocolate Mousse,2003,10,7,au,listeria monocytogenes
166,"Foodland Associated Ltd—Signature Range Plain, Seaweed & Tomato Salso Flavoured Rice Crackers",2003,5,8,au,milk and products thereof
167,Foodland Associated Ltd—Signature Range Cereal Bars,2003,14,8,au,soybeans and products thereof
168,Charkas Middle East Foods—Al-Rabih Brand Tahineh,2003,19,8,au,salmonella
169,The Natural Ice Cream Company—Fruccio Ice Dessert and Fruccio Vanilla Cups,2003,22,8,au,milk and products thereof
170,Manassen Foods Australia Pty Ltd—Trident Oriental Favourites—Pad Thai Noodles,2003,28,8,au,labelling/misdescription
171,Product recall of Unilever Bestfoods Ltd Bertolli brand 'Pesto Rosso' sauce 185g jar,2003,15,9,na,other
172,Pura—UHT (Long Life) Whole Milk,2003,18,9,au,other not classified chemical hazards
173,Rosemount Estate—Semillon Sauvignon Blanc Wine,2003,19,9,au,packaging defect
174,Barilla—Arrabbiata Pasta Sauce & Barilla Pesto Calabrese,2003,23,9,au,other
175,Woolworths Limited—Premium Beef Mince and Regular Beef Mince,2003,24,9,au,metal fragment
176,Hunts Foods—Frozen Hunts Beef Savoury Rice & Chicken Savoury Rice,2003,15,10,au,cereals containing gluten and products thereof
177,Favourite Foods Pty Ltd—Mexigos Nacho Cheese & Salso and Mexigos Bean Dip & Nacho Cheese,2003,24,11,au,peanuts and products thereof
178,Woolworths Supermarkets—Pre-Packed Gourmet Lettuce,2003,25,11,au,listeria monocytogenes
179,Canon Foods—Chicken and Cheese Schnitzel,2003,26,11,au,plastic fragment
180,Four Bee Meats—Smoked Premium Leg Ham and Silverside Eye Corn Beef,2003,3,12,au,listeria monocytogenes
181,IGA—Christmas Kisses (Cream filled sponge cakes),2003,16,12,au,labelling/misdescription
182,D'Orsogna—Pressed Chicken,2003,17,12,au,listeria monocytogenes
183,Golden Circle—Meal Variety 4 and 8 Pack Baby Food,2004,8,1,au,milk and products thereof
184,Lismore Country Meats—Sliced Leg Ham,2004,29,1,au,listeria monocytogenes
185,Darragh's Plaza Butchery—Sliced Roast Beef,2004,30,1,au,listeria monocytogenes
186,Lucas Quality Meats—Sliced Virginia Leg Ham,2004,3,2,au,listeria monocytogenes
187,Parmalat Australia Ltd—Pauls Vanilla Custard,2004,5,2,au,spoilage
188,Azzura Gelati—Azzura Kisses,2004,10,2,au,other not classified allergen hazards
189,P & M Quality Smallgoods Pty Ltd—Primo Cocktail Frankfurts,2004,11,2,au,listeria monocytogenes
190,Wattle Valley—Chunky Dip Chilli Red with Cashew and Parmesan,2004,20,2,au,sulphur dioxide and sulphites
191,Trade withdrawal of 500ml Ballygowan Pure Irish Still Water,2004,10,3,na,bad smell / off odor
192,Foodland Associated Limited—Signature Range Classic Caesar Salad Dressing,2004,18,3,au,fish and products thereof
193,Aqua Marine Marketing Pty Ltd—Cooked Medium Tiger Prawns (sold loosely),2004,5,4,au,salmonella
194,Naturally Good Products Pty Ltd—Soy Carob Products,2004,19,4,au,labelling/misdescription
195,Village Cheese—Halloumi cheese,2004,4,5,au,staphylococcus
196,Mur Thai Food Co Pty Ltd—Vinawang Pumpkin Seed Cake 100g Cellophone pack,2004,20,5,au,peanuts and products thereof
197,La Tosca—Sugodoro bolognese Sauce with beef,2004,8,6,au,processing
198,Sanhuo Pty Ltd—Sunlight White Sesame Seeds,2004,9,6,au,salmonella
199,Koz Worldwide Imports—Ttangkong Kangjung (Peanut Snack),2004,25,6,au,peanuts and products thereof
200,"Product withdrawal of Pork Farms, Bowyers, Marks and Spencer and Somerfield brand Scotch eggs, picnic eggs and Savoury Bites",2004,8,7,na,glass fragment
201,Confectionery Trading Company—IGA—Fabulously Fun Lolly Pops,2004,15,7,au,eggs and products thereof
202,Lolliland Pty Ltd—Quanta Armada—Soft nougat caramel and peanuts in milk chocolate,2004,21,7,au,eggs and products thereof
203,White Wings—Cornflour 300 G,2004,27,7,au,heavy metals
204,Update on Jumbo Palm Oil,2004,9,8,na,unauthorised colour sudan 4
205,"Conga Foods Pty Ltd—Spanish Black Pitted Olives, Green Valley, 350g, Glass Jar",2004,2,9,au,glass fragment
206,"F Mayer Imports Pty Ltd—Smoked Salmon (All Natural - Sliced - Ready to Serve), Royal Line, 100gram",2004,3,9,au,listeria monocytogenes
207,"Hormel Foods Australia Pty Ltd—Kid's Kitchen—Mini Beef Ravioli in Tomato Sauce, 213g",2004,28,9,au,labelling/misdescription
208,Woolworths Limited—Fruity Muesli Cookies,2004,14,10,au,labelling/misdescription
209,Woolworths Limited—Homebrand—Mackerel in Natural Oil,2004,3,11,au,toxin
210,WM Morrison recall of deli cooked lamb from their instore delicatessen counters,2004,5,11,na,salmonella
211,J Sainsbury recall Dry Cured York Ham sold from their in-store delicatessen counters,2004,5,11,na,salmonella
212,Nestlé—Maggi—Frozen Macaroni Cheese,2004,19,11,au,plastic fragment
213,Coles—Candy Lane Chocolate Coated Sultanas,2004,23,12,au,peanuts and products thereof
214,Product recall of Marks & Spencer Cheesy Spirals 'Loved by Kids' meal,2005,15,1,na,chlorine
215,Hungs Trading Company Pty Ltd—Seawoods Soft Flour Cake (FSANZ 2005/01),2005,19,1,au,milk and products thereof
216,Coles—and Bi-Lo thin BBQ sausages (random weight and assorted pack sizes),2005,28,1,au,plastic fragment
217,Parmalat Australia Ltd—Chocolate flavoured milk UHT Longlife,2005,4,2,au,spoilage
218,Coles—Parmagiana Beef Rissoles,2005,22,2,au,eggs and products thereof
219,Masterfoods—Mars—Fundraising speckled eggs boxes,2005,23,2,au,peanuts and products thereof
220,Fromagent Australia—Mauri brand cheese Bon Taleggio Valsassina,2005,3,3,au,listeria monocytogenes
221,"Uncle Tobys—Le Snak Rice Crackers, BBQ Flavoured with Mild Salsa Dip",2005,7,3,au,milk and products thereof
222,Coles—Farmland & BI-LO—Fruit juice cordial orange crush 2L,2005,15,3,au,spoilage
223,Woolworths Limited—Home Brand—Nacho Cheese Flavoured Corn Chips,2005,27,4,au,cereals containing gluten and products thereof
224,Tender Choice Foods(Aust) Pty Ltd—Oven Roasted Skinless Sliced Chicken 5kg and 1kg,2005,29,4,au,listeria monocytogenes
225,Coles Myer Ltd—Bi-Lo Shredded Lite Tasty Cheese,2005,17,5,au,plastic fragment
226,Yuen's Market Trading Company—Pun Chun Lye Water,2005,25,5,au,other
227,Aristocrat Gourmet Foods—Aristocrat and Melton Pork Pies,2005,26,5,au,escherichia coli
228,Coles Myer Ltd—Bilo & Savings—Choc Coated Ice Cream,2005,6,6,au,plastic fragment
229,Coles—Garden Vegetable Pasta Sauce,2005,20,6,au,glass fragment
230,Wei Wah International Trading Pty Ltd—Lion Globe Dry Seaweed 50g,2005,1,7,au,salmonella
231,Masterfoods—Mars and Snickers Bars,2005,4,7,au,other
232,Coles—Farmland Natural Spring Water,2005,4,7,au,other
233,Manassen Foods Australia Pty Ltd—Atkins Advantage Chocolate Decadence Bar,2005,11,7,au,peanuts and products thereof
234,Vihenthi Co Pty Ltd—Hello Bee Bee Pon Rice Snack (Gaueteau de Riz),2005,14,7,au,peanuts and products thereof
235,Parmalat Foods Australia Pty Ltd—Skinny Milk,2005,14,7,au,other not classified chemical hazards
236,Hong Australia Corp Pty Ltd—Pun Chen Lye Water,2005,20,7,au,other
237,Angelakis Brothers—Pacific Red—Frozen Whole Cooked Vannamei Prawn,2005,28,7,au,other not classified biological hazards
238,Aus Soya Products—Tofu (5 products),2005,4,8,au,escherichia coli
239,Parmalat Foods Australia Pty Ltd—Fresh Milk packed in 2 litre plastic bottles,2005,9,8,au,taste disturbance
240,Marco Polo Foods Pty Ltd—Trata Brand Anchovy Fillets in Sunflower Oil,2005,17,8,au,toxin
241,Pavlova Pantry—Lamingtons,2005,18,8,au,listeria monocytogenes
242,T & D Trading Co Pty Ltd—Aroy-D—Mussaman curry soup,2005,27,9,au,other not classified biological hazards
243,Gold Coast Bakery Queensland Pty Ltd—Vogels—Fruit and Nut Bread,2005,27,9,au,plastic fragment
244,T & D Trading Co Pty Ltd—Loong Heed—Instant Tai Pla (Fish and spice) Paste,2005,27,9,au,other not classified biological hazards
245,Coles—Farmland Tropical Muesli (750g),2005,4,10,au,peanuts and products thereof
246,Uncle Tobys—Plus Sultanas 'n Bran,2005,8,11,au,peanuts and products thereof
247,marks & spencer recalls a number of own-brand cake products due to contamination with coloured plastic strands,2005,24,11,na,plastic fragment
248,Dec 1_ 2005 MO Firm Recalls ___,2005,1,12,us,listeria monocytogenes
249,"Conroy's Smallgoods, MQF, Foodland, Drake—Ready-to-eat meats and smallgoods (excluding bacon)",2005,14,12,au,listeria monocytogenes
250,Coles—Premium Fruit Mince Pie 4 Pack,2005,15,12,au,labelling/misdescription
251,Coles Myer Limited—Farmland Tropical Muesli,2006,8,2,au,almond
252,"Bulla Dairy Foods—Bulla , Farmland & Homebrand Brand Names—Low Fat Cottage Cheese, all flavours",2006,9,2,au,metal fragment
253,"Parilla Fresh—Woolworths brand, Action brand Alfalfa sprouts",2006,22,2,au,salmonella
254,IXL—Raspberry Conserve,2006,29,3,au,glass fragment
255,Marks & Spencer recalls own-brand 3 Bean & Spinach Salad with Chive Dressing due to incorrect labelling information,2006,20,4,na,soybeans and products thereof
256,"Pernod Ricard Pacific Pty Ltd—Maison Supreme, White, Rose and Lambrusco",2006,9,5,au,yeasts
257,Parilla—Fresh and Woolworths brand Alfalfa Sprouts,2006,10,5,au,salmonella
258,Country Valley—Classic Cream (minimum 35% fat),2006,18,5,au,escherichia coli
259,Woolworths Supermarkets—Pork mince,2006,29,5,au,metal fragment
260,Top Taste—Various products,2006,29,5,au,foreign bodies
261,Tibaldi Smallgoods—Loin Capocollo mild,2006,1,6,au,salmonella
262,Coles Myer Ltd—Farmland Apple Oven Baked Fruit Bars,2006,1,6,au,plastic fragment
263,J&F Corbo Pty Ltd—Buona Pasta Beef Ravioli and Ravioli Da Brodo,2006,19,6,au,salmonella
264,Coles Myers Pty Ltd—Savings Luncheon Ham and Chicken Meat,2006,30,6,au,plastic fragment
265,United Biscuits recalls certain batches of its Go Ahead! brand Crispy Fruit Slices and Yoghurt Breaks due to possible metal contamination,2006,12,7,na,metal fragment
266,Riviana Foods Pty Ltd—Always Fresh Baby Clams - Tin Can 200g,2006,13,7,au,microbiological contamination
267,May 25_ 2006 IN Firm Recalls Recalls Soup Product___,2006,13,7,us,milk and products thereof
268,Darling Downs Foods Pty Ltd—Selected KR Castlemaine products,2006,19,7,au,enteroviruses
269,Manassen Foods Pty Ltd—McVitie's The Original Digestive,2006,19,7,au,microbiological contamination
270,Nestlé—Maggi Liquid Cooking Sauce,2006,26,7,au,spoilage
271,Wah Lien Trading Pty Ltd—Horlicks drink powder,2006,31,8,au,labelling/misdescription
272,Sunbeam Foods Pty Ltd—Angas Park and Sunbeam brand dried fruits,2006,14,9,au,metal fragment
273,Australian Discount Retail—Ricky's BBQ flavoured Rice Crackers,2006,19,9,au,cereals containing gluten and products thereof
274,Duncan Mann—Black & Gold Choc sultanas,2006,25,9,au,peanuts and products thereof
275,Quaker Oats Ltd withdraws a batch of Quaker Oats due to the presence of moth pupae and larvae within the product,2006,5,10,na,insects
276,Oct 6_ 2006_ Iowa_ Firm Recalls Ground Beef___,2006,6,10,us,escherichia coli
277,Manassen Foods Australia Pty Ltd—Globus Dill Cucumbers (Polski Ogorki),2006,2,11,au,glass fragment
278,Nestlé—Nan 2 H.A. Gold Infant Formula,2006,1,12,au,metal fragment
279,National Foods—Milk Products,2006,6,12,au,microbiological contamination
280,Marks & Spencer plc withdraws batches of its own brand Strawberry & Almond Crunch due to incorrect allergy labelling,2006,7,12,na,milk and products thereof
281,Product recall of various brands of frozen ready-to-eat meals with rice due to possible glass contamination,2006,14,12,na,glass fragment
282,Feb 12_ 2007 PA Firm Recalls ___,2007,12,2,us,processing
283,Harvey Fresh Ltd—All White Milk,2007,15,2,au,taste disturbance
284,Kinnerton Confectionary Australia Pty Ltd—Spiderman 3—Ceramic Mug and Egg,2007,21,2,au,peanuts and products thereof
285,Emerging incident involving distribution of Moubon Yoghurt Dessert from an unapproved establishment,2007,23,2,na,unauthorised placing on the market
286,Game Farm Enterprises (Qld) Pty Ltd—Top of the Range brand free range eggs,2007,5,3,au,salmonella
287,Recall of Certain Bottled Mineral Water in the United States and Canada (Updated on 12 March 2007),2007,9,3,hk,heavy metals
288,Whitestone Windsor Blue Cheese,2007,14,3,au,listeria monocytogenes
289,National Foods Pty Ltd—Tilba Cheese,2007,15,3,au,salmonella
290,Recall of Certain Bottled Mineral Water in the United States and Canada (Updated on 26 March 2007),2007,24,3,hk,heavy metals
291,Nestlé—Kit Kat Caramel & Kit Kat Cookie Dough,2007,4,4,au,plastic fragment
292,Primo Smallgoods—Shaved Chicken Breast,2007,12,4,au,listeria monocytogenes
293,Nestlé—Kit Kat Caramel & Kit Kat Cookie Dough,2007,20,4,au,plastic fragment
294,Italian Foods—Prosciutto Parma whole legs & Serrano ham slices and whole legs,2007,26,4,au,listeria monocytogenes
295,Franklins—No Frills Pizza—Ham and Pineapple and Supreme varieties,2007,27,4,au,moulds
